----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Notes: 
  Total_num: the numbers of add/sub in rtl
  Module Name: the module name of the instantiated module calling directly the add/sub sub module
  Location/Inst Name: if linefile info exists(no optimization), print the codes location of add/sub in rtl, else print the inst name
  Count: the amount of lutcarry for add/sub
  Number: the numbers of add/sub with the same lutcarry counts and linefile

Detailed RTL Component Info :
-----Add :
               Total_Num :270
-----Sub :
               Total_Num :173
-----AddSub :
               Total_Num :0

Add_Sub_AddSub: Initial Mapping Report :
|-------------------------------------------------|---------|---------|---------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|Module Name                                      |Type     |Count    |Number   |Location/Inst Name                                                                                                                                                                                                                   |
|-------------------------------------------------|---------|---------|---------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|DCT                                              |Add      |9        |1        |../source/DCT.v:87                                                                                                                                                                                                                   |
|-------------------------------------------------|---------|---------|---------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|Div_flow_loop[10].Divider                        |Sub      |6        |1        |../source/Div_cell.v:45                                                                                                                                                                                                              |
|-------------------------------------------------|---------|---------|---------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|Div_flow_loop[10].Divider                        |Sub      |8        |1        |../source/Div_cell.v:45                                                                                                                                                                                                              |
|-------------------------------------------------|---------|---------|---------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|Div_flow_loop[10].Divider                        |Sub      |11       |2        |../source/Div_cell.v:45                                                                                                                                                                                                              |
|-------------------------------------------------|---------|---------|---------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|Div_flow_loop[11].Divider                        |Sub      |6        |1        |../source/Div_cell.v:45                                                                                                                                                                                                              |
|-------------------------------------------------|---------|---------|---------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
